civ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13549,36000,91212,257134,472952,728545,1027058,1280696,1674332,2349439,4065421,7467708,10449036,13184308,15599044,18099532,19390902,22104575,25407610,0,0,17344242,27451250,31747233,33807850,37376603
cmr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,3500,4200,5000,6000,103279,417295,701507,1077000,1530868,2252508,3135946,4536000,6160893,8004120,8636652,13108058,15664666,17039059,18160667,0,1600,10486614,18717503,20135388,18455836,21155316
cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8500,7200,8900,10000,12000,15000,150000,560000,1246225,1990722,2746094,4415470,6592000,9937622,9458557,11820348,20092678,28231900,37102958,37752782,NA,NA,15644877,28889317,35375246,36470600,37123208
cog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,NA,3390,5000,70000,150000,221800,330000,383653,558192,917499,1287631,1807000,2948304,3718748,4283134,4659762,4930100,5216000,0,0,3884757,5424000,5056000,5000000,NA
col,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274590,522857,1264763,1800229,1966535,2256801,3265261,4596594,6186206,10400578,21849993,29762715,33941118,41364753,42159613,44477653,49066359,50295114,55330272,57327470,0,86805,46200421,58684924,62220014,64513977,66283175
com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,8378,15523,36877,62104,91741,122596,165278,283511,347500,383000,424786,0,0,216438,454389,468914,498903,575218
cpv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1020,8068,19729,31507,42949,53342,65780,81721,108858,152212,277670,290621,371871,425310,499458,613378,611468,0,0,396429,601956,612259,610328,595681
cri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,18750,46531,64387,108770,138178,211614,326944,502478,778299,923084,1101305,1443717,1508219,1886570,1950318,3128372,5378082,7111981,7020412,7535599,4533,6985,4153067,8330664,8840342,8495585,8171211
cub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1939,2427,2994,4056,5136,6536,8579,17851,35356,75797,135534,152715,198252,331736,621156,1003015,1681645,1995698,2530752,3335346,500,1152,1315141,3987900,4613782,5373316,6042629
cym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,559,988,2534,NA,4109,5170,8410,10700,17000,19000,21040,33800,80945,92559,101497,98313,108699,100568,98834,98036,91059,93244,1260,1813,96777,95656,96656,NA,NA
cyp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1348,3156,5131,9739,44453,70781,91968,116429,151649,218324,314355,417933,551752,658234,782503,867785,988312,1016739,977521,1034071,1110935,1099621,1110802,1111123,15288,22938,1090944,1133780,1176801,1200378,1243151
cze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,4651,48900,200315,526339,965476,1944553,4346009,6947151,8610177,9708683,10782567,11775878,12406199,13228631,13780165,13062617,12934100,13521900,13719300,13913100,12454575.01,14043,30429,13167700,12485045,12636359,12704262,13205000
deu,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,23800,48747,98763,163619,272609,532251,971890,3725000,5512000,8276000,13913000,23446000,48202000,56126000,59128000,64800000,71322000,79271000,85652000,96232925,105523065,105000000,88400000,92400000,100034000,99530000,96360000,1774378,2490500,90900000,103470000,109700000,107500000,107200000
dji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,203,220,280,230,3000,15000,23000,34482,44053,44817,69539,112848,128776,165613,212468,244123,287049,314350,0,0,193049,345246,373052,395037,NA
dma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,556,650,800,1200,7710,12173,23786,41838,52000,71500,89000,91000,98500,105567,109300,93575,73886,77254,0,0,108924,78444,75230,75771,NA
dnk,0,0,0,0,0,0,0,0,0,0,7200,16100,30600,46100,57604,77432,101479,123792,148220,175943,211063,822264,1316592,1444016,1931101,2628585,3363552,3960165,4477752,4767100,5166912,5449206,5828157,6308000,6556988,6833683,6420790,7292756,7031152,7160233,7079249,357589,503500,7173185,6985035,7140859,7216215,7243465
dom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3166,5605,7190,55979,82547,141592,209384,424434,705431,1270082,1700609,2091914,2534063,3623289,4605659,5512859,7210483,8629815,8892783,8934196,9200410,8303536,8797247,10364,20990,8770780,8708131,8769127,8937647,8948107
dza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,4781,4781,4691,11700,17400,18000,72000,86000,100000,450244,1446927,4882414,13661355,20997954,27562721,27031472,32729824,32780165,37527703,39517045,43298174,43227643,4781,1348,35615926,47041321,45845665,47154264,47081131
ecu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54380,59779,126505,242812,383185,482213,859152,1560861,2398161,3544174,6246332,8485050,9939977,11684479,13241758,14780730,16456740,16626199,16605737,12943791,0,18920,15332715,13882280,14651404,15772838,15853100
egy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627,3021,3619,4000,4500,4913,7368,7369,65378,90786,480974,1359900,2793800,4494700,5797530,7643060,13629602,18001106,30093673,41286662,55352233,70661005,96798801,99704976,95316034,94016152,6877,7371,83425145,97791441,102958194,93784497,95340262
